Date,Forecast,Lower_Bound,Upper_Bound,Crypto
2025-12-31,88368.53092141502,83249.50351507768,93802.32827208105,BTC
2026-01-01,88410.1441025087,81371.67986895818,96057.41939718944,BTC
2026-01-02,88392.9156063875,79823.21157127134,97882.65061750507,BTC
2026-01-03,88406.98327268122,78589.32914895908,99451.09311929604,BTC
2026-01-04,88402.7064427981,77482.0414522124,100862.57873357038,BTC
2026-01-05,88407.80683591403,76506.24855836494,102160.8098268428,BTC
2026-01-06,88407.10380881706,75608.91533599695,103371.61919504344,BTC
2026-01-07,88409.1419813837,74785.86547253963,104514.086137767,BTC
2026-01-08,88409.29399109773,74017.50759892217,105599.38476120975,BTC
2026-01-09,88410.20501034016,73298.56166754976,106637.34965799178,BTC
2026-01-10,88410.47360161913,72620.06823394906,107634.322475182,BTC
2026-01-11,88410.92555245449,71977.71461972459,108595.99805770493,BTC
2026-01-12,88411.14193176926,71366.58132573684,109526.4740509657,BTC
2026-01-13,88411.38468097567,70783.4571907658,110429.37504650715,BTC
2026-01-14,88411.53193509138,70225.24535769799,111307.53533569304,BTC
2026-01-15,88411.66923992727,69689.58428848002,112163.43643884275,BTC
2026-01-16,88411.76323055403,69174.3384147127,112999.12737398905,BTC
2026-01-17,88411.84327971908,68677.7472356576,113816.40118881458,BTC
2026-01-18,88411.90157989087,68198.24870354345,114616.78986730595,BTC
2026-01-19,88411.949030084,67734.50213437511,115401.64148237278,BTC
2026-01-20,88411.98470110718,67285.3188546256,116172.13341408496,BTC
2026-01-21,88412.01307600024,66849.65515217162,116929.31008181738,BTC
2026-01-22,88412.03475469924,66426.58031571514,117674.09751209005,BTC
2026-01-23,88412.0518002244,66015.26517442169,118407.32416771725,BTC
2026-01-24,88412.06493084265,65614.96478702882,119129.73283924998,BTC
2026-01-25,88412.07519453656,65225.00850924303,119841.99341417769,BTC
2026-01-26,88412.08313412269,64844.7893373817,120544.71182634958,BTC
2026-01-27,88412.08932164562,64473.7562933935,121238.43851517,BTC
2026-01-28,88412.09411827612,64111.40727952114,121923.67502242886,BTC
2026-01-29,88412.0978507339,63757.283411419914,122600.87990147418,BTC
2026-01-30,88412.10074730894,63410.96396389529,123270.4735888095,BTC
