Date,Forecast,Lower_Bound,Upper_Bound,Crypto
2021-01-01,31592.356563628826,27755.07963387563,35886.772241316015,BTC
2021-01-02,32718.838163700835,28376.252020039097,37234.93865701748,BTC
2021-01-03,33212.54030081371,29040.53064528176,37902.45391285762,BTC
2021-01-04,33313.91061989168,29249.31280174345,38349.17678251653,BTC
2021-01-05,33321.687289990834,28986.728772834293,37969.47112736512,BTC
2021-01-06,33861.3443891996,29408.454743831986,38873.214896870384,BTC
2021-01-07,34215.5219729018,30046.643338310638,38838.02656405478,BTC
2021-01-08,34402.131851030535,30132.985268285545,39395.81819024512,BTC
2021-01-09,34360.94358214012,30031.966115761716,39358.87463374242,BTC
2021-01-10,34956.83089468717,30430.840595961985,39981.87156954404,BTC
2021-01-11,35897.85416291469,31371.16366314456,40765.52546647545,BTC
2021-01-12,35055.51077125467,30691.215678406246,39991.70373568817,BTC
2021-01-13,35210.03426841725,30869.3728011104,40108.628799062106,BTC
2021-01-14,35064.65719391005,30352.66556432072,40127.39927575401,BTC
2021-01-15,35042.28011326645,30756.04655561969,39892.650502665325,BTC
2021-01-16,35072.22672867211,30554.128546303113,40171.25005079117,BTC
2021-01-17,34850.24992559591,30512.355866439128,40131.987080688436,BTC
2021-01-18,34442.8077317186,30294.731480909668,39555.17658414669,BTC
2021-01-19,34523.86319060965,30204.11330459766,39238.66514925596,BTC
2021-01-20,34789.26446704101,30253.709655892868,39742.89048166334,BTC
2021-01-21,34901.523164939805,30647.824383537652,40024.5820149814,BTC
2021-01-22,34942.46153622507,30412.358939549085,39753.147709304656,BTC
2021-01-23,34846.05272788284,30732.07733164,39713.99010567639,BTC
2021-01-24,35160.76632187401,30661.468084387365,40534.38486457032,BTC
2021-01-25,35569.71325062988,31199.339625204728,40881.697561835266,BTC
2021-01-26,36079.81051370768,31453.03729074454,41490.27442915181,BTC
2021-01-27,36835.465007192724,32405.569552427973,41810.2218920261,BTC
2021-01-28,37716.580077585204,33012.32568947972,43029.421944248774,BTC
2021-01-29,39292.02007022173,34542.60570790538,45066.72524305332,BTC
2021-01-30,38992.30615682105,34091.00939675042,44303.693807994176,BTC
2021-01-31,39231.733736138296,34453.96069779895,44875.46079211618,BTC
2021-02-01,39661.184218806455,34711.028292164556,45171.54870321844,BTC
2021-02-02,40216.048764658844,34968.39488727853,45991.51867291252,BTC
2021-02-03,40891.95707450882,35861.383671851116,46836.85650434378,BTC
2021-02-04,41682.16073333201,36631.55777086218,47822.07209318989,BTC
2021-02-05,42046.46486214798,37079.15009205797,47795.89939803137,BTC
2021-02-06,43540.500789836755,38170.907593859,49399.96919486231,BTC
2021-02-07,44068.876376455446,38542.02149482708,50497.38524649486,BTC
2021-02-08,45448.20514196471,40100.5732306911,51272.10299399859,BTC
2021-02-09,45890.01767543674,39893.44009079286,51857.351935111605,BTC
2021-02-10,46702.54503106016,41055.54921391103,53700.397872185866,BTC
2021-02-11,47227.13124045683,41372.61955333353,53775.86345097803,BTC
2021-02-12,47691.978362599824,42047.77020041402,54342.76476678863,BTC
2021-02-13,48514.84028098117,42417.57631240474,55215.16585135451,BTC
2021-02-14,48875.29958330404,42825.92809231379,55296.21504891267,BTC
2021-02-15,48867.38972951142,42571.95632050136,55852.09215610914,BTC
2021-02-16,48954.03799489624,42880.85921773456,55881.1839419411,BTC
2021-02-17,49308.232330739964,43073.11383803126,56054.8789448293,BTC
2021-02-18,48348.074512999745,42597.73127629042,55069.51857772929,BTC
2021-02-19,48613.84493173865,42909.137322656665,55890.73527103668,BTC
2021-02-20,49238.1898018113,43352.68537127122,56220.53096299542,BTC
2021-02-21,48720.08481805651,42168.544458094955,55515.482590595486,BTC
2021-02-22,49694.9284153857,43797.383335327926,56769.36019097424,BTC
2021-02-23,50331.07317733372,44085.28045444746,57143.52209316115,BTC
2021-02-24,49453.54982618309,43520.622538063646,56395.82111944311,BTC
2021-02-25,49480.96839734008,43524.73153424611,56822.40759014862,BTC
2021-02-26,60454.25749552624,53037.37964132516,68968.1732737127,BTC
2021-02-27,50704.2866035344,44438.73575251705,57506.59859651769,BTC
2021-02-28,51572.23743212765,44911.16577859902,58469.10671890248,BTC
2021-03-01,51238.47984109192,45020.1858706131,58950.57121525864,BTC
2021-03-02,51019.930881721164,44509.71616957036,58131.650395779994,BTC
2021-03-03,51350.20176906793,44890.25578078178,58531.44401729508,BTC
2021-03-04,51180.48818282465,44964.33652751967,57874.42625379797,BTC
2021-03-05,50972.32021523042,44668.99067293472,58147.15839292716,BTC
2021-03-06,51116.42311480067,44571.94065920367,58211.21864914369,BTC
2021-03-07,51543.56476854196,44905.82371619292,58578.04157975705,BTC
2021-03-08,51452.88282720003,45241.53725266329,58931.511362826444,BTC
2021-03-09,51577.64010830723,45181.580707216955,59247.43526505689,BTC
2021-03-10,51987.46647565562,45457.11982589503,60211.776820443505,BTC
2021-03-11,51906.117124980075,45549.84821747459,59236.036018925144,BTC
2021-03-12,51896.28216797974,45066.69138367709,59476.773472787114,BTC
2021-03-13,52823.6427512896,46561.91964049807,60291.82713258668,BTC
2021-03-14,52494.449576292885,45664.236144855815,60580.396725749066,BTC
2021-03-15,53045.580487800646,46207.16838331894,60475.13970298361,BTC
2021-03-16,52881.524010359375,45917.097540385825,60152.57311686487,BTC
2021-03-17,53077.033072785496,46398.37429128517,60040.31437488184,BTC
2021-03-18,52791.73254281982,46120.993014257176,60534.6835508647,BTC
2021-03-19,52465.48740248983,45889.83898547406,60133.511406016696,BTC
2021-03-20,53085.132944182886,46174.98539741007,60419.75948680882,BTC
2021-03-21,53166.20172502459,46448.530186620315,60809.609657186156,BTC
2021-03-22,52923.55825331658,46157.40369937935,60497.47652605698,BTC
2021-03-23,52908.85171230897,46555.83181673451,60627.25168187014,BTC
2021-03-24,53628.2283087974,46645.68296820255,60459.34942954768,BTC
2021-03-25,53572.05712167987,46666.31450033618,61131.960855810736,BTC
2021-03-26,53318.63708040848,46652.17453943881,60725.074470830004,BTC
2021-03-27,53870.36420797485,47019.45377500314,61509.98507939718,BTC
2021-03-28,54263.17260642328,47148.37812130596,61853.626586200975,BTC
2021-03-29,54604.737025460934,47384.372682949404,62142.1274565837,BTC
2021-03-30,54880.51794001795,48465.19440058035,63068.87055104452,BTC
2021-03-31,55826.632500216496,48823.95369856431,63930.23381449443,BTC
2021-04-01,55832.42776604746,49217.20838156116,63903.353454300704,BTC
2021-04-02,55739.189486007584,48756.45246905629,63924.10738674059,BTC
2021-04-03,56351.566011501316,48890.24773897498,64155.78845972565,BTC
2021-04-04,55973.35696962298,48924.93614379819,64036.75917098948,BTC
2021-04-05,55864.352590571696,49412.77239568932,63619.2304484655,BTC
2021-04-06,56031.575436528816,48882.48227877402,64339.53948376764,BTC
2021-04-07,56556.62566705514,49465.601903057075,64923.125179290204,BTC
2021-04-08,55550.417783848716,48362.56856942483,63293.27294739272,BTC
2021-04-09,55072.32382621789,48128.87482354409,63135.448306805294,BTC
2021-04-10,55897.04466321006,48944.673970844546,63613.107397495485,BTC
2021-04-11,55361.286997904725,48669.94577891346,62773.869115674395,BTC
2021-04-12,55130.61171582153,48302.2893691762,63792.71309248035,BTC
2021-04-13,55815.04144531509,48935.68576426339,63816.99676126286,BTC
2021-04-14,56285.21816217324,49392.2584042399,64831.665646248526,BTC
2021-04-15,55458.0902484501,48183.93064683014,62725.72862562664,BTC
2021-04-16,55927.538772132335,49218.71681550187,63721.305663101666,BTC
2021-04-17,55493.02783241073,48337.2976118057,63764.51391929231,BTC
2021-04-18,56255.281327789766,49105.590281483164,64150.95439672679,BTC
2021-04-19,54360.721978695525,47606.732815611256,62318.912693947525,BTC
2021-04-20,54158.82416231988,47505.027849556594,61272.90409094186,BTC
2021-04-21,53654.392360184225,46878.44144054913,61691.48464389024,BTC
2021-04-22,54044.93116957835,47694.407627197994,61507.09743197121,BTC
2021-04-23,54250.329843027845,47851.0288079341,61946.60440177221,BTC
2021-04-24,53524.81043455957,47056.62692027864,60574.100176943946,BTC
2021-04-25,53610.344211016774,46576.56109327049,60993.07861028028,BTC
2021-04-26,53952.01545743241,47055.38282339402,61052.79726285822,BTC
2021-04-27,54060.22159685045,47675.55347527435,60837.48877246174,BTC
2021-04-28,54684.98421495664,47639.21958575535,62881.73495680621,BTC
2021-04-29,54433.34006302889,47061.44155640985,62114.325312819274,BTC
2021-04-30,54437.94953694389,47269.48338984306,61761.906720411505,BTC
2021-05-01,54456.46712560658,47587.932718321215,62347.724909797726,BTC
2021-05-02,53958.48860832965,47470.45590034632,62100.94648921373,BTC
2021-05-03,53564.8108210444,46429.68651317771,61287.287727115945,BTC
2021-05-04,53614.87330114367,47068.63335020357,60903.98181880867,BTC
2021-05-05,53322.84414048211,46908.42702504994,61297.02182331459,BTC
2021-05-06,52799.276293767325,46237.921251982705,60195.70661992611,BTC
2021-05-07,52288.83799466451,45634.98068934607,59777.76724611387,BTC
2021-05-08,52337.8599468663,45798.36200902016,60356.864603444876,BTC
2021-05-09,51918.20410330197,45656.72722745013,59785.37506122435,BTC
2021-05-10,51245.33971862985,45157.10231783644,58882.340183722255,BTC
2021-05-11,50429.86720152035,44154.39789801066,57729.8670571321,BTC
2021-05-12,50641.460941329526,44710.06611140659,57648.45020791513,BTC
2021-05-13,50869.993445404056,44823.467962296476,57785.35731726916,BTC
2021-05-14,49083.70039270005,42746.98968138035,55819.50370683259,BTC
2021-05-15,49180.21925490435,42817.54735733609,55646.342639134185,BTC
2021-05-16,48661.92631766588,42456.70026507693,55466.25655115854,BTC
2021-05-17,47841.328022115515,41915.20715376227,54400.25377263218,BTC
2021-05-18,46440.51352110904,41159.366697815974,52541.18966213755,BTC
2021-05-19,47861.339011542965,41926.64059925531,55235.64253602403,BTC
2021-05-20,45851.5354081803,39781.13377630021,52057.06357035236,BTC
2021-05-21,44839.04780491035,38968.4354036023,51042.5070828676,BTC
2021-05-22,43872.134069345084,38109.70792647968,50224.41239615681,BTC
2021-05-23,43769.06485218075,38473.593598078216,50287.9017223993,BTC
2021-05-24,42548.79647045651,37413.31253160445,48735.25844928768,BTC
2021-05-25,41765.62220962907,36328.424777967804,47135.6873219994,BTC
2021-05-26,41422.03470705078,36151.23568450844,47045.74228184199,BTC
2021-05-27,40881.00143826084,35806.13477627845,47031.88446917226,BTC
2021-05-28,40935.111883791666,35946.366286606295,46623.00274355509,BTC
2021-05-29,40960.98155554674,35738.30546087944,46539.482561438825,BTC
2021-05-30,40515.80015253667,35145.72964870012,46277.01870809259,BTC
2021-05-31,40302.23676345815,35403.66804536096,46003.92058669281,BTC
2021-06-01,40042.6682271358,35085.488975734654,45448.58825205011,BTC
2021-06-02,39936.686580420625,34995.59845472949,45545.51682355191,BTC
2021-06-03,39670.843076578145,34989.909811604775,45317.33187032916,BTC
2021-06-04,39490.028665691825,34816.048850182444,45417.15503451133,BTC
2021-06-05,39483.91805078982,34538.50093673083,44961.08288338865,BTC
2021-06-06,39068.670558852566,34198.945838436644,44965.713256867806,BTC
2021-06-07,38628.988106257544,33838.866454719166,44087.80368846536,BTC
2021-06-08,38661.687558173515,33599.5954055578,43907.507447453376,BTC
2021-06-09,38453.481990567234,33690.4924993594,44031.372498672594,BTC
2021-06-10,37658.310826938454,32858.28359358991,42842.52742964255,BTC
2021-06-11,37008.131424692074,32290.64376820973,42234.186051049284,BTC
2021-06-12,36915.64458683965,32120.88466754309,42369.77734143769,BTC
2021-06-13,36553.206957464085,32119.74594258367,41640.71797131699,BTC
2021-06-14,35890.80698780908,31268.57744066175,41217.14151003547,BTC
2021-06-15,35427.530439251444,31135.77750331803,40489.84324274123,BTC
2021-06-16,34791.4578463551,30540.226304126867,39900.60080457036,BTC
2021-06-17,34057.844191445765,29468.020749780764,38974.16800363337,BTC
2021-06-18,33369.603310061495,29038.968528387282,38265.76306651288,BTC
2021-06-19,33013.987050684394,28986.365402064414,37978.47443548959,BTC
2021-06-20,32567.829567829936,28426.2650083001,37405.40991606897,BTC
2021-06-21,32109.307065156532,28402.36630419231,36804.16277738831,BTC
2021-06-22,31689.352737084395,27816.70706228885,36221.12636465706,BTC
2021-06-23,31055.7698457839,27149.92403723722,35457.152138672835,BTC
2021-06-24,30327.399951990345,26435.47317153514,34831.354303651,BTC
2021-06-25,30058.337184873846,26403.906090017965,34355.06800532171,BTC
2021-06-26,30524.492787369523,26716.544690996692,34906.74106697837,BTC
2021-06-27,30732.25871290314,26746.218252346942,34846.989445457715,BTC
2021-06-28,30794.224930548953,27080.156047864515,35260.71076750666,BTC
2021-06-29,31208.88578618623,27526.878559520654,35683.57868453924,BTC
2021-06-30,31601.721970439845,27984.342830966943,36023.081709852464,BTC
2021-07-01,31969.59632926355,27993.76887569346,36635.31456148792,BTC
2021-07-02,32245.905461890103,28234.42434387437,36614.04929039204,BTC
2021-07-03,32549.001278528704,28550.163213116928,36867.98762647215,BTC
2021-07-04,32808.13175193992,28734.359940642204,37248.06619196699,BTC
2021-07-05,32871.18957285768,28869.01334612826,37623.36102466575,BTC
2021-07-06,33157.882647093866,29287.0150443759,37904.35606874756,BTC
2021-07-07,33558.60837514245,29324.372746050856,38377.53093234156,BTC
2021-07-08,33921.97931264399,29858.643102479138,38533.26536492484,BTC
2021-07-09,34096.25676660067,30144.144983139577,38792.09686455543,BTC
2021-07-10,34594.64571997755,30280.99592584753,39727.132718839646,BTC
2021-07-11,34800.79085087575,30362.95882314333,40187.03236618029,BTC
2021-07-12,34950.2691175469,30568.29283640016,39793.6736545458,BTC
2021-07-13,35181.989643668756,30583.804411465495,39856.33342288145,BTC
2021-07-14,35693.20342581768,31216.977338772434,41362.31808534605,BTC
2021-07-15,35905.03445148841,31419.352461708506,40820.49069974132,BTC
2021-07-16,36069.76251323594,31439.92783593863,41343.61940738664,BTC
2021-07-17,36402.50418546686,32135.69419945494,41979.76127182143,BTC
2021-07-18,36441.342810464026,31787.028580948645,42138.21234245494,BTC
2021-07-19,36257.88102973377,32025.714933456464,41418.47872946854,BTC
2021-07-20,36369.03411308747,31935.339360278398,41721.673191326445,BTC
2021-07-21,36675.04229537408,31991.828515391036,41808.44765781382,BTC
2021-07-22,36498.81083544542,31585.662665409498,41351.35609944681,BTC
2021-07-23,36615.15980299857,32118.488044352314,41901.160656281936,BTC
2021-07-24,37132.938927241776,32274.746056138483,42453.82174702275,BTC
2021-07-25,37381.61831309891,32898.390316864585,42927.926600275685,BTC
2021-07-26,38171.36966433373,33523.33833597063,43438.32670164576,BTC
2021-07-27,38231.717662744224,33643.28364702554,43873.98897883175,BTC
2021-07-28,38937.1506346309,34005.90492453024,44297.6106161896,BTC
2021-07-29,39107.70888769041,34486.551709940555,45013.40785389836,BTC
2021-07-30,39698.24024213857,34443.219604869446,45088.47046309919,BTC
2021-07-31,40399.970934086705,35452.2234758938,45724.302177278485,BTC
2021-08-01,40845.70865866836,35631.041992996106,46896.56323323035,BTC
2021-08-02,40867.47991293461,35649.6653487399,46532.02441952008,BTC
2021-08-03,41163.89864259569,35834.781148445065,47118.544933909325,BTC
2021-08-04,41572.493929377975,36403.00709094655,47213.71758003268,BTC
2021-08-05,42093.53398225894,36965.020119106346,47974.09468134814,BTC
2021-08-06,42507.598237135826,37190.90025782095,48700.74038363372,BTC
2021-08-07,43418.684502628246,37968.13766332903,49719.081085810205,BTC
2021-08-08,43736.47768492277,38262.89105154562,49817.47656926635,BTC
2021-08-09,43852.234337896916,38105.769214288615,50233.89254893143,BTC
